,timestamp,count,in_china
11642,2016-09-15,109,1
11643,2016-09-15,86,1
11644,2016-09-15,100,1
11645,2016-09-15,106,1
11680,2016-09-16,119,1
11681,2016-09-16,114,1
11682,2016-09-16,111,1
11683,2016-09-16,116,1
11685,2016-09-16,117,1
11686,2016-09-16,117,1
11687,2016-09-16,116,1
11688,2016-09-16,117,1
11689,2016-09-16,116,1
11692,2016-09-16,117,1
11695,2016-09-16,117,1
11696,2016-09-16,111,1
11697,2016-09-16,91,1
11699,2016-09-16,105,1
11700,2016-09-16,86,1
11704,2016-09-16,102,1
11706,2016-09-16,87,1
11707,2016-09-16,81,1
11715,2016-09-16,82,1
11716,2016-09-16,92,1
11723,2016-09-16,107,1
11724,2016-09-16,111,1
11727,2016-09-16,118,1
11728,2016-09-16,110,1
11729,2016-09-16,101,1
11730,2016-09-16,120,1
11731,2016-09-16,92,1
11734,2016-09-16,107,1
11735,2016-09-16,109,1
11738,2016-09-16,137,1
11752,2016-09-16,104,1
11774,2016-09-16,103,1
11775,2016-09-16,83,1
11790,2016-09-17,108,1
11797,2016-09-17,84,1
11826,2016-09-17,101,1
11828,2016-09-17,138,1
11833,2016-09-17,97,1
11834,2016-09-17,106,1
11835,2016-09-17,82,1
11838,2016-09-17,118,1
11863,2016-09-17,108,1
11932,2016-09-18,113,1
11940,2016-09-18,127,1
11946,2016-09-18,96,1
11947,2016-09-18,86,1
11948,2016-09-18,117,1
11949,2016-09-18,113,1
11950,2016-09-18,104,1
11966,2016-09-18,122,1
11967,2016-09-18,119,1
11968,2016-09-18,107,1
11970,2016-09-18,118,1
11971,2016-09-18,113,1
11973,2016-09-18,127,1
11975,2016-09-18,116,1
11976,2016-09-18,109,1
11977,2016-09-18,112,1
11978,2016-09-18,124,1
11979,2016-09-18,138,1
11980,2016-09-18,137,1
11984,2016-09-18,118,1
11985,2016-09-18,122,1
11986,2016-09-18,103,1
11987,2016-09-18,119,1
11988,2016-09-18,125,1
11992,2016-09-18,111,1
11999,2016-09-18,119,1
12001,2016-09-18,120,1
12002,2016-09-18,111,1
12003,2016-09-18,88,1
12007,2016-09-18,121,1
12008,2016-09-18,113,1
12009,2016-09-18,114,1
12010,2016-09-18,100,1
12013,2016-09-18,105,1
12014,2016-09-18,90,1
12016,2016-09-18,105,1
12019,2016-09-18,91,1
12020,2016-09-18,106,1
12021,2016-09-18,108,1
12022,2016-09-18,110,1
12025,2016-09-18,127,1
12026,2016-09-18,107,1
12027,2016-09-18,109,1
12028,2016-09-18,111,1
12029,2016-09-18,110,1
12030,2016-09-18,107,1
12034,2016-09-19,105,1
12035,2016-09-19,115,1
12036,2016-09-19,116,1
12037,2016-09-19,113,1
12038,2016-09-19,99,1
12039,2016-09-19,81,1
12042,2016-09-19,105,1
12045,2016-09-19,82,1
12046,2016-09-19,110,1
12051,2016-09-19,115,1
12052,2016-09-19,108,1
12053,2016-09-19,84,1
12063,2016-09-19,101,1
12064,2016-09-19,86,1
12066,2016-09-19,116,1
12067,2016-09-19,113,1
12072,2016-09-19,140,1
12073,2016-09-19,117,1
12074,2016-09-19,116,1
12080,2016-09-19,89,1
12081,2016-09-19,117,1
12083,2016-09-19,93,1
12084,2016-09-19,97,1
12086,2016-09-19,103,1
12087,2016-09-19,116,1
